bond_name,rating,price
Bond_3,A,98.82
Bond_4,A,107.03
Bond_20,A,96.73
Bond_33,A,95.95
Bond_43,A,95.8
Bond_48,A,106.17
Bond_63,A,96.55
Bond_68,A,95.21
Bond_69,A,103.8
Bond_70,A,100.35
Bond_74,A,90.94
Bond_78,A,108.88
Bond_87,A,97.51
Bond_97,A,96.96
Bond_109,A,91.37
Bond_110,A,94.27
Bond_111,A,99.21
Bond_121,A,93.91
Bond_125,A,97.42
Bond_137,A,109.06
Bond_142,A,103.01
Bond_144,A,104.37
Bond_149,A,106.88
Bond_156,A,90.01
Bond_161,A,103.38
Bond_174,A,101.81
Bond_177,A,104.35
Bond_178,A,105.24
Bond_187,A,93.06
Bond_191,A,96.91
Bond_194,A,92.3
Bond_202,A,91.91
Bond_203,A,96.61
Bond_206,A,107.25
Bond_210,A,108.05
Bond_215,A,109.08
Bond_231,A,93.47
Bond_237,A,103.19
Bond_238,A,97.21
Bond_242,A,107.57
Bond_254,A,97.51
Bond_257,A,95.03
Bond_261,A,106.54
Bond_266,A,98.72
Bond_267,A,96.12
Bond_268,A,107.04
Bond_274,A,90.05
Bond_278,A,104.29
Bond_279,A,100.48
Bond_285,A,108.5
Bond_291,A,101.4
Bond_295,A,106.32
Bond_308,A,96.61
Bond_312,A,108.25
Bond_320,A,93.62
Bond_325,A,108.51
Bond_328,A,95.47
Bond_330,A,94.56
Bond_341,A,109.85
Bond_349,A,96.75
Bond_351,A,106.56
Bond_355,A,91.8
Bond_356,A,108.82
Bond_357,A,90.79
Bond_359,A,98.41
Bond_362,A,95.8
Bond_364,A,99.56
Bond_376,A,95.31
Bond_377,A,109.59
Bond_391,A,102.64
Bond_405,A,101.48
Bond_408,A,93.38
Bond_410,A,105.35
Bond_411,A,91.69
Bond_415,A,107.44
Bond_427,A,90.3
Bond_428,A,90.86
Bond_433,A,91.36
Bond_435,A,102.2
Bond_445,A,97.08
Bond_450,A,100.08
Bond_454,A,104.86
Bond_455,A,100.34
Bond_467,A,100.62
Bond_474,A,108.76
Bond_493,A,105.33
Bond_507,A,91.27
Bond_508,A,97.82
Bond_518,A,98.66
Bond_520,A,104.71
Bond_525,A,97.84
Bond_539,A,97.66
Bond_541,A,93.5
Bond_544,A,102.57
Bond_559,A,98.4
Bond_560,A,103.23
Bond_567,A,109.13
Bond_568,A,99.79
Bond_570,A,109.98
Bond_571,A,103.75
Bond_584,A,95.54
Bond_597,A,97.77
Bond_598,A,94.91
Bond_600,A,95.55
Bond_604,A,108.6
Bond_616,A,104.97
Bond_627,A,91.95
Bond_632,A,108.92
Bond_634,A,99.59
Bond_639,A,90.5
Bond_640,A,103.97
Bond_646,A,109.5
Bond_647,A,108.98
Bond_652,A,93.16
Bond_662,A,90.93
Bond_669,A,96.93
Bond_690,A,104.9
Bond_691,A,107.53
Bond_692,A,97.82
Bond_694,A,108.16
Bond_695,A,95.51
Bond_696,A,109.84
Bond_701,A,96.49
Bond_705,A,99.21
Bond_715,A,100.85
Bond_716,A,109.5
Bond_725,A,105.01
Bond_755,A,109.56
Bond_757,A,102.07
Bond_767,A,107.61
Bond_768,A,98.57
Bond_773,A,103.15
Bond_774,A,91.36
Bond_776,A,90.62
Bond_785,A,106.35
Bond_786,A,97.07
Bond_795,A,104.53
Bond_796,A,101.99
Bond_798,A,98.74
Bond_823,A,100.26
Bond_838,A,90.08
Bond_841,A,106.77
Bond_845,A,101.31
Bond_849,A,94.1
Bond_872,A,108.48
Bond_878,A,101.75
Bond_881,A,95.85
Bond_892,A,95.28
Bond_899,A,93.97
Bond_917,A,92.09
Bond_922,A,93.04
Bond_925,A,92.74
Bond_928,A,98.36
Bond_944,A,92.35
Bond_947,A,98.6
Bond_948,A,93.73
Bond_949,A,98.8
Bond_965,A,109.14
Bond_967,A,106.15
Bond_969,A,98.41
Bond_974,A,106.77
Bond_975,A,102.56
Bond_984,A,102.11
Bond_985,A,108.91
Bond_997,A,95.92
