bond_name,rating,price
Bond_2,BBB,106.65
Bond_7,BBB,103.15
Bond_45,BBB,103.72
Bond_47,BBB,102.02
Bond_104,BBB,108.82
Bond_118,BBB,102.06
Bond_183,BBB,104.28
Bond_211,BBB,105.18
Bond_221,BBB,104.63
Bond_224,BBB,102.45
Bond_287,BBB,104.49
Bond_305,BBB,108.82
Bond_352,BBB,107.34
Bond_374,BBB,102.12
Bond_387,BBB,108.48
Bond_394,BBB,102.23
Bond_429,BBB,103.24
Bond_432,BBB,105.84
Bond_438,BBB,107.55
Bond_492,BBB,102.46
Bond_499,BBB,102.13
Bond_500,BBB,105.49
Bond_531,BBB,106.01
Bond_551,BBB,102.13
Bond_553,BBB,106.68
Bond_587,BBB,108.89
Bond_594,BBB,105.51
Bond_649,BBB,103.48
Bond_657,BBB,103.24
Bond_666,BBB,106.33
Bond_684,BBB,108.14
Bond_703,BBB,102.89
Bond_719,BBB,108.08
Bond_759,BBB,107.9
Bond_777,BBB,108.74
Bond_784,BBB,105.68
Bond_800,BBB,102.35
Bond_801,BBB,108.82
Bond_803,BBB,107.75
Bond_809,BBB,106.85
Bond_831,BBB,104.85
Bond_837,BBB,104.5
Bond_865,BBB,106.82
Bond_958,BBB,103.4
Bond_963,BBB,105.46
