SECURITY_DES,BB_COMPOSITE,PX_LAST,CPN,LONG_COMP_NAME,MATURITY,CRNCY,CNV_PREM,DELTA,YLD_YTM_MID,CNTRY_OF_RISK,AMT_OUTSTANDING,CONVERTIBLE,SRCH_ASSET_CLASS
Bond_1,A,90.24,3.02,Issuer_A,2035-02-11,JPY,70.27,0.21,1.64,US,723000000,Y,Corporates
Bond_2,BB,107.47,1.12,Issuer_C,2027-10-03,EUR,67.47,0.64,1.8,GB,883000000,Y,Corporates
Bond_4,BB,105.29,1.1,Issuer_D,2030-01-03,EUR,13.07,0.5,3.71,DE,728000000,N,Corporates
Bond_6,A,92.82,2.01,Issuer_B,2034-09-03,USD,62.73,0.67,2.47,DE,449000000,N,Governments
Bond_7,B,106.5,1.93,Issuer_D,2033-01-18,JPY,39.34,0.02,1.18,DE,533000000,N,Corporates
Bond_8,BBB,91.78,3.61,Issuer_B,2033-05-17,USD,15.31,0.87,4.28,DE,73000000,Y,Corporates
Bond_10,BBB,105.68,1.32,Issuer_C,2031-04-15,USD,71.58,0.69,2.16,DE,144000000,Y,Corporates
Bond_11,CCC,106.47,2.32,Issuer_D,2026-04-10,GBP,38.63,0.25,4.33,DE,534000000,Y,Corporates
Bond_12,A,97.31,0.13,Issuer_A,2027-07-21,JPY,28.16,0.59,0.45,JP,898000000,Y,Corporates
Bond_14,AA,98.88,4.93,Issuer_D,2029-10-14,GBP,41.8,0.67,1.79,US,538000000,Y,Corporates
Bond_15,CCC,99.46,2.45,Issuer_B,2025-02-22,USD,54.17,0.36,0.33,US,361000000,Y,Corporates
Bond_16,CCC,107.98,2.74,Issuer_A,2025-09-09,EUR,48.98,0.72,1.81,GB,983000000,N,Governments
Bond_17,AAA,103.84,1.33,Issuer_A,2025-12-22,GBP,34.47,0.17,0.19,GB,591000000,N,Corporates
Bond_19,AA,100.74,2.08,Issuer_A,2033-01-15,EUR,21.61,0.45,1.87,FR,813000000,Y,Corporates
Bond_21,CCC,106.6,4.12,Issuer_B,2027-01-01,GBP,2.77,0.32,3.71,FR,988000000,Y,Corporates
Bond_22,AAA,92.26,1.78,Issuer_D,2034-05-05,GBP,66.69,0.36,2.57,FR,302000000,Y,Corporates
Bond_23,CCC,92.52,3.13,Issuer_B,2028-07-12,JPY,89.99,0.6,4.96,US,567000000,N,Corporates
Bond_24,B,90.99,1.4,Issuer_D,2032-02-03,GBP,66.13,0.24,3.87,JP,767000000,N,Corporates
Bond_25,BB,97.75,3.62,Issuer_B,2026-12-27,USD,33.06,0.98,0.4,JP,16000000,Y,Corporates
Bond_26,A,98.49,2.13,Issuer_C,2027-05-04,JPY,37.19,0.75,4.87,GB,573000000,N,Governments
Bond_27,A,108.38,2.45,Issuer_D,2028-07-10,JPY,80.26,0.75,4.21,US,498000000,N,Corporates
Bond_28,AAA,104.44,3.11,Issuer_D,2027-12-21,EUR,1.99,0.2,4.69,US,94000000,Y,Corporates
Bond_29,CCC,102.59,0.36,Issuer_B,2035-05-16,GBP,24.78,0.99,2.64,GB,312000000,N,Governments
