SECURITY_DES,BB_COMPOSITE,PX_LAST,CPN,LONG_COMP_NAME,MATURITY,CRNCY,CV_PCT_PREMIUM,DELTA,YIELD(YIELD_TYPE=YTM),CNTRY_OF_RISK,AMT_OUTSTANDING,CONVERTIBLE,SRCH_ASSET_CLASS,ID,ID_ISIN,SECURITY_TYP,"CLASSIFICATION_NAME(BICS,2)",PAYMENT_RANK,YIELD(YIELD_TYPE=YTW),CV_COMMON_TICKER_EXCH,CV_CNVS_PX,CV_CNVS_RATIO,PARITY,AMT_OUTSTANDING_USD,DATA_SOURCE,CAST_PARENT_EQUITY_TICKER
Bond_1,AAA,104.83,1.22,Issuer_B,2026-11-24,USD,59.05,0.03,0.47,DE,277410000.0,Y,Corporates,XS0000000017 Corp,XS0000000017,Convertible,Banking,1st lien,0.445,DEMO1 US Equity,135.0968,7.402099827679116,65.9100911662999,277410000.0,SYNTHETIC DEMO - not market data,DEMO1 US Equity
Bond_2,NR,93.98,3.25,Issuer_D,2028-08-19,GBP,80.94,0.01,4.03,JP,203110000.0,Y,Corporates,XS0000000025 Corp,XS0000000025,Convertible,Consumer Discretionary Products,2nd lien,4.0,DEMO2 US Equity,95.9459,10.422540202343196,51.93986957002321,264043000.0,SYNTHETIC DEMO - not market data,DEMO2 US Equity
Bond_3,BBB,109.14,1.68,Issuer_A,2031-02-12,GBP,60.37,0.81,3.65,US,487900000.0,Y,Corporates,XS0000000033 Corp,XS0000000033,Convertible,Consumer Discretionary Services,1.5 Lien,3.061,DEMO3 US Equity,59.6793,16.756228709116897,68.05512252915135,634270000.0,SYNTHETIC DEMO - not market data,DEMO3 US Equity
Bond_4,AA,101.04,4.15,Issuer_C,2034-04-23,USD,,,0.23,DE,397880000.0,N,Corporates,XS0000000041 Corp,XS0000000041,Bond,Consumer Staple Products,Jr Subordinated,-0.727,,,,,397880000.0,SYNTHETIC DEMO - not market data,DEMO4 US Equity
Bond_5,BBB,107.33,1.9,Issuer_D,2035-06-06,GBP,35.53,0.67,3.51,US,324110000.0,Y,Corporates,XS0000000058 Corp,XS0000000058,Convertible,Financial Services,Secured,3.417,DEMO5 US Equity,80.587,12.408949334259868,79.19279864236701,421343000.0,SYNTHETIC DEMO - not market data,DEMO5 US Equity
Bond_6,NR,104.58,0.82,Issuer_D,2029-11-23,EUR,68.46,0.84,3.88,DE,419810000.0,Y,Corporates,XS0000000066 Corp,XS0000000066,Convertible,Health Care,Sr Unsecured,3.501,DEMO6 US Equity,195.1608,5.123979815618711,62.08001899560726,461791000.00000006,SYNTHETIC DEMO - not market data,DEMO6 US Equity
Bond_7,CCC,95.35,1.05,Issuer_C,2028-11-16,JPY,,,4.42,JP,114290000.0,N,Corporates,XS0000000074 Corp,XS0000000074,Bond,Industrial Products,Unsecured,4.374,,,,,800030.0,SYNTHETIC DEMO - not market data,DEMO7 US Equity
Bond_8,BBB,104.9,2.69,Issuer_D,2034-07-12,EUR,99.73,0.14,2.47,US,437500000.0,Y,Corporates,XS0000000082 Corp,XS0000000082,Convertible,Industrial Services,Asset Backed,2.181,DEMO8 US Equity,61.0217,16.38761293113761,52.52090321934612,481250000.00000006,SYNTHETIC DEMO - not market data,DEMO8 US Equity
Bond_9,A,105.84,2.11,Issuer_A,2031-07-20,JPY,52.91,0.97,4.3,US,356130000.0,Y,Corporates,XS0000000090 Corp,XS0000000090,Convertible,Insurance,Sr Non Preferred,4.09,DEMO9 US Equity,86.6326,11.54299882492272,69.21718658034138,2492910.0,SYNTHETIC DEMO - not market data,DEMO9 US Equity
Bond_10,NR,105.02,3.84,Issuer_C,2026-05-14,EUR,45.37,0.95,4.38,GB,487350000.0,Y,Corporates,XS0000000108 Corp,XS0000000108,Convertible,Materials,Sr Preferred,4.001,DEMO10 US Equity,49.4124,20.237835037359044,72.24324138405449,536085000.00000006,SYNTHETIC DEMO - not market data,DEMO10 US Equity
Bond_11,NR,108.25,4.35,Issuer_C,2035-09-20,EUR,15.28,0.76,2.7,US,319530000.0,Y,Corporates,XS0000000116 Corp,XS0000000116,Convertible,Media,Sr Subordinated,2.668,DEMO11 US Equity,61.2287,16.332210221677087,93.90180430256765,351483000.0,SYNTHETIC DEMO - not market data,DEMO11 US Equity
Bond_12,AAA,92.24,1.81,Issuer_C,2028-01-08,USD,,,0.43,JP,417210000.0,N,Corporates,XS0000000124 Corp,XS0000000124,Bond,National,1st lien,-0.225,,,,,417210000.0,SYNTHETIC DEMO - not market data,DEMO12 US Equity
Bond_13,A,103.2,4.73,Issuer_B,2029-09-28,JPY,96.44,0.93,3.78,DE,370830000.0,Y,Corporates,XS0000000132 Corp,XS0000000132,Convertible,Oil & Gas,2nd lien,2.865,DEMO13 US Equity,91.2137,10.963265386668889,52.535125229077586,2595810.0,SYNTHETIC DEMO - not market data,DEMO13 US Equity
